,lat,lon,date,d15n,blue,green,red,nir,swir1,swir2,imaging_time
694,35.408094,-99.058566,2018,-4.6,0.267252310747842,0.2898632648384386,0.2900771522419983,0.35763501642349704,0.33616988770911316,0.2795355587808418,Wed Jul 11 03:12:54 2018
695,35.405108,-99.058568,2018,-5.1,0.13580322358872507,0.15462531510197847,0.15720724161637767,0.24274692536857384,0.27799251394087543,0.21187075089756321,Wed Jul 11 03:12:54 2018
696,47.16941,-99.058774,2019,0.0,0.15413642960812773,0.18154457260713466,0.18123901917347796,0.3356504468718967,0.27035367809945765,0.24410663814834618,Fri Jul 12 03:22:53 2019
697,35.404309,-99.059225,2018,-3.25,0.1346879535558781,0.15500725689404934,0.15502253456573217,0.256756550301734,0.27177450156596134,0.20122221373462684,Wed Jul 11 03:12:54 2018
698,35.399175,-99.06056,2018,-5.8,0.1300588190359789,0.14979757085020243,0.14796425024826215,0.26424260942632344,0.25257046826063706,0.1847834390038958,Wed Jul 11 03:12:54 2018
699,35.395379,-99.063188,2018,-5.7,0.12956993354212817,0.16059888472996714,0.1585975097395157,0.29022992895882666,0.2654801008326331,0.18892368802994425,Wed Jul 11 03:12:54 2018
700,35.402943,-99.064829,2018,-7.3,0.13557405851348253,0.15375448781605683,0.16072110610342985,0.24163165533572684,0.27484531357421127,0.21555266977312657,Wed Jul 11 03:12:54 2018
701,35.411053,-99.06485,2018,-5.5,0.11910472843938584,0.1278130012986021,0.12775189061187076,0.16296692384080666,0.15577114047819113,0.1360629440073333,Wed Jul 11 03:12:54 2018
702,35.412139,-99.069792,2018,-6.2,0.1253685738293484,0.14962951646169123,0.15710029791459781,0.25350240623329007,0.26907035367809945,0.20779161255824613,Wed Jul 11 03:12:54 2018
703,35.400509,-99.069797,2018,-1.2,0.12685050798258346,0.15325032465052327,0.13943930944923993,0.3775876556412803,0.2417844320525552,0.16802383316782524,Wed Jul 11 03:12:54 2018
704,35.411869,-99.074095,2018,-5.3,0.15317393629210907,0.21475823084561912,0.22606370789091743,0.3555114200595829,0.3372393247269116,0.26601481934153237,Wed Jul 11 03:12:54 2018
705,35.404299,-99.080041,2018,-7.0,0.1359407226338706,0.1587350087846612,0.16061416240165,0.25200519440837216,0.28291192422274847,0.20754716981132076,Wed Jul 11 03:12:54 2018
706,35.41213,-99.085338,2018,-1.3,0.11988388969521045,0.13896570162707203,0.1404170804369414,0.1991444503857612,0.22517760293331296,0.17363073867542586,Wed Jul 11 03:12:54 2018
707,47.163131,-99.109882,2019,-2.9,0.12318386677870292,0.13742265678710563,0.13059353754487815,0.24843021923458866,0.19164311358948896,0.1485753571155756,Fri Jul 12 03:22:53 2019
708,47.162314,-99.110281,2019,-2.1,0.12157971125200519,0.13584905660377358,0.1267741196241693,0.2685814681842487,0.18377511267282867,0.14182262623176228,Fri Jul 12 03:22:53 2019
709,47.160965,-99.11068,2019,-1.0,0.12646856619051255,0.1450156596134749,0.13701015965166907,0.29976319608891605,0.2195706974257123,0.16177526544954549,Fri Jul 12 03:22:53 2019
710,47.16475,-99.110683,2019,0.9,0.11947139255977389,0.13398518065846765,0.12449774654342678,0.2585440378886258,0.16894049346879536,0.1364143304560385,Fri Jul 12 03:22:53 2019
711,47.154005,-99.111308,2019,-1.1,0.12542968451607975,0.14220456802383316,0.133114353372546,0.282392483385532,0.19732640745550378,0.1511572836299748,Fri Jul 12 03:22:53 2019
712,47.156969,-99.114094,2019,0.7,0.11963944694828509,0.1368879382782064,0.12810327706057598,0.25092047971889087,0.18849591322282483,0.14645176075166144,Fri Jul 12 03:22:53 2019
713,47.163429,-99.115691,2019,-0.7,0.1235199755557253,0.13856848216331832,0.1323351921167214,0.25457184325108856,0.205759682224429,0.15505308990909786,Fri Jul 12 03:22:53 2019
714,47.163711,-99.118452,2019,-0.7,0.12376441830265067,0.1379115422809564,0.13092964632190054,0.2386066763425254,0.18557787793140326,0.14811702696509052,Fri Jul 12 03:22:53 2019
715,47.19814,-99.166392,2019,1.5,0.13548239248338553,0.15445726071346727,0.14833091436865023,0.3039034451149645,0.2576579329310213,0.18777786265373156,Fri Jul 12 03:22:53 2019
716,47.207842,-99.16681,2019,0.1,0.12924910243678864,0.15080589718126958,0.13574211290199373,0.32209915208922163,0.22612481857764877,0.16408219387365366,Fri Jul 12 03:22:53 2019
717,47.207302,-99.169577,2019,-0.6,0.12744633717821405,0.15198227790084792,0.13358796119471392,0.35213505461767625,0.21905125658849592,0.15807806890229928,Fri Jul 12 03:22:53 2019
718,47.205682,-99.171564,2019,-0.2,0.13144908715911696,0.1501795126422733,0.13746848980215415,0.33337407379115425,0.23361087770223818,0.167580780689023,Fri Jul 12 03:22:53 2019
719,47.209998,-99.171961,2019,-2.0,0.12856160721106102,0.15103506225651211,0.13581850126040793,0.3278588343136506,0.22705675655030175,0.16356275303643725,Fri Jul 12 03:22:53 2019
720,47.202167,-99.173924,2019,0.5,0.13412267970361316,0.1541669849514934,0.14205179130700482,0.33149492017416543,0.2494843785807043,0.17737376823772058,Fri Jul 12 03:22:53 2019
721,47.206173,-99.184204,2019,0.2,0.1267435642808036,0.14353372546023985,0.13213658238484455,0.3044992743105951,0.20604995798640288,0.15445726071346727,Fri Jul 12 03:22:53 2019
722,47.210512,-99.185022,2019,-5.3,0.1336185165380796,0.15170727981055687,0.14547398976395998,0.2963104422885952,0.24253303796501413,0.17986402872202276,Fri Jul 12 03:22:53 2019
723,47.142128,-99.21116,2016,-1.7,0.29310213123519974,0.2936674050874647,0.2921701932625468,0.3991902834008097,0.335253227408143,0.3093881292491024,Tue Jul 19 03:22:55 2016
724,47.142128,-99.21116,2021,0.0,0.13105186769536323,0.14610037430295622,0.14620731800473608,0.23665113436712246,0.2349094797952792,0.17477656405163852,Sat Jul 24 03:29:06 2021
725,47.146681,-99.225413,2016,0.2,0.23917195019479032,0.2344358719731113,0.23709418684592468,0.3577114047819112,0.2716675578641815,0.24789550072568942,Tue Jul 19 03:22:55 2016
726,47.146681,-99.225413,2021,-1.1,0.14924757466962035,0.15991138950423955,0.16670995340310138,0.23484836910854787,0.29348407302727064,0.230005347185089,Sat Jul 24 03:29:06 2021
727,47.137759,-99.229336,2021,4.5,0.15297532656023222,0.16421969291879918,0.17275991138950425,0.24876632801161103,0.3013215186005653,0.23756779466809258,Sat Jul 24 03:29:06 2021
728,47.136134,-99.232896,2016,3.0,0.10049652432969215,0.1576502940951799,0.15137117103353448,0.2662134290734092,0.2243678863341227,0.19292643801084713,Tue Jul 19 03:22:55 2016
729,47.136134,-99.232896,2021,1.8,0.14176151554503094,0.1564586357039187,0.1636238637231686,0.23388587579252923,0.278863341226797,0.21541517072798105,Sat Jul 24 03:29:06 2021
730,47.145051,-99.232933,2016,0.0,0.14988923688029945,0.21116797800015277,0.21081659155144755,0.32516996409747156,0.247376059888473,0.22716370025208157,Tue Jul 19 03:22:55 2016
731,47.145051,-99.232933,2021,-0.9,0.14875868917576962,0.16498357650294096,0.17306546482316096,0.27684668856466277,0.3061492628523413,0.23280116110304788,Sat Jul 24 03:29:06 2021
732,47.129131,-99.23405,2021,0.4,0.13636849744099,0.1543350393400046,0.15702390955618364,0.26693147964250247,0.2597204186082041,0.19194866702314567,Sat Jul 24 03:29:06 2021
733,47.118581,-99.239944,2016,-2.0,0.4556718356122527,0.45784126499121536,0.45622183179283476,0.5130394927813001,0.4302192345886487,0.3895500725689405,Tue Jul 19 03:22:55 2016
